REORDER (auto-fill),DATE OF LAST STOCK TAKING,ITEM NAME,STOCK LOCATION,DESCRIPTION, UNIT PRICE ,STOCK QUANTITY, TOTAL VALUE ,REORDER LEVEL
REORDER,4/2/2026,150ML CUP VANILLA,STORE,CUPS,$4.14 ,7635,"$31,618.06 ",36000
OK,4/2/2026,150ML CUP STRAWBERRY,STORE,CUPS,$5.56 ,31651,"$175,979.56 ",10000
OK,4/2/2026,250ML CUP VANILLA,STORE,CUPS,$5.19 ,41306,"$214,179.87 ",32000
OK,4/2/2026,250ML CUP STRAWBERRY,STORE,CUPS,$7.40 ,30409,"$225,026.60 ",8300
OK,4/2/2026,500ML CUP VANILLA,STORE,CUPS,$9.26 ,35628,"$329,915.28 ",11000
OK,4/2/2026,500ML CUP STRAWBERRY,STORE,CUPS,$9.26 ,32587,"$301,755.62 ",4500
REORDER,4/2/2026,100ML CUP VANILLA,STORE,CUPS,$2.75 ,20172,"$55,456.86 ",37000
OK,4/2/2026,100ML CUP STRAWBERRY,STORE,CUPS,$4.08 ,15779,"$64,378.32 ",12500
OK,4/2/2026,LIDS,STORE,LIDS,$2.14 ,4552,"$9,758.03 ",2500
OK,,,,,,,"$1,408,068.21 ",
OK,,1LTS BOTTLES,STORE,JERRICANS,$26.00 ,165,"$4,290.00 ",
OK,,2LTS BOTTLES,STORE,JERRICANS,$31.00 ,50,"$1,550.00 ",
OK,,5LTS BOTTLES,STORE,JERRICANS,68,530,36040,
OK,,3LTS BOTTLES,STORE,JERRICANS,49,0, $-   ,
OK,,VANILLA FLAVOUR,STORE,INGREDIENTS,"$4,700.00 ",15.8,"$74,354.00 ",
OK,,NATAMYCIN,STORE,INGREDIENTS,"$32,480.00 ",1.9,"$61,712.00 ",
OK,,SUGAR,STORE,INGREDIENTS,162,293.9,"$47,611.80 ",
OK,,STARCH,STORE,INGREDIENTS,$129.00 ,304.1,"$39,228.90 ",
OK,,PECTIN,STORE,INGREDIENTS,"$2,790.00 ",13.7,"$38,223.00 ",
OK,,STRAWBERRY FLAVOUR,STORE,INGREDIENTS,"$5,164.32 ",4,"$20,760.57 ",
OK,,STRAWBERRY COLOR,STORE,INGREDIENTS,"$21,054.00 ",0.6,"$12,000.78 ",
OK,,Y.MILD,STORE,INGREDIENTS,"$156,600.00 ",0.2,"$31,320.00 ",
OK,,LIDS-FOILS- 73MM V,STORE,FOILS,$1.62 ,90430,"$146,858.32 ",
OK,,LIDS-FOILS- 73MM SB,STORE,FOILS,$1.62 ,39439,"$64,048.94 ",
OK,,LIDS- FOILS- 94MM V,STORE,FOILS,$1.95 ,4552,"$8,870.94 ",
OK,,LIDS- FOILS- 94MM SB,STORE,FOILS,$1.95 ,5212,"$10,157.15 ",
OK,,K-SORBATE,STORE,INGREDIENTS,$754.00 ,19.7,"$14,853.80 ",
OK,,TRAYS,STORE,TRAYS,$8.00 ,8956,"$71,648.00 ",
OK,,SWEETER,STORE,INGREDIENTS,"$4,300.00 ",4.8,"$20,493.80 ",
OK,,,,,,, $-   ,
OK,,,,                                                                                                 ,,, $-   ,
OK,,,,,,TOTAL,"$704,021.98 ",
,,Lye,STORE,REAGENT,"$3,740.00 ",1,"$3,740.00 ",
,,ACID,STORE,REAGENT,"$8,700.00 ",2,"$17,400.00 ",
,,Bactrisan,STORE,REAGENT,"$5,800.00 ",2,"$11,600.00 ",
