Date,Product Name,Quantity,Unit Cost
4/23/2024,100ML VANILLA,203,13
4/23/2024,150ML VANILLA,132,20.7
4/23/2024,100ML STRAWBERRY,183,13
4/23/2024,250ML STRAWBERRY,111,30
4/23/2024,500ML STRAWBERRY,78,59
4/24/2024,100ML VANILLA,157,13
4/24/2024,150ML VANILLA,98,20.7
4/24/2024,500ML VANILLA,79,59
4/24/2024,100ML STRAWBERRY,135,13
4/24/2024,150ML STRAWBERRY,82,20.7
4/24/2024,500ML STRAWBERRY,71,59
4/24/2024,5L STRAWBERRY,9,450
4/25/2024,100ML VANILLA,165,13
4/25/2024,150ML VANILLA,115,20.7
4/25/2024,500ML VANILLA,73,59
4/25/2024,250ML STRAWBERRY,96,30
4/25/2024,500ML STRAWBERRY,69,59
4/25/2024,5L STRAWBERRY,10,450
4/26/2024,100ML VANILLA,137,13
4/26/2024,250ML VANILLA,92,30
4/26/2024,100ML STRAWBERRY,130,13
4/26/2024,250ML STRAWBERRY,83,30
4/26/2024,500ML STRAWBERRY,56,59
4/26/2024,5L STRAWBERRY,10,450
4/27/2024,100ML VANILLA,135,13
4/27/2024,250ML VANILLA,96,30
4/27/2024,500ML VANILLA,86,59
4/27/2024,100ML STRAWBERRY,127,13
4/27/2024,250ML STRAWBERRY,95,30
4/27/2024,500ML STRAWBERRY,55,59
4/27/2024,5L STRAWBERRY,9,450
4/28/2024,100ML VANILLA,133,13
4/28/2024,250ML VANILLA,117,30
4/28/2024,500ML VANILLA,79,59
4/28/2024,100ML STRAWBERRY,140,13
4/28/2024,150ML STRAWBERRY,81,20.7
4/28/2024,500ML STRAWBERRY,63,59
4/29/2024,100ML VANILLA,194,13
4/29/2024,250ML VANILLA,165,30
4/29/2024,500ML VANILLA,86,59
4/29/2024,100ML STRAWBERRY,150,13
4/29/2024,150ML STRAWBERRY,128,20.7
4/29/2024,250ML STRAWBERRY,128,30
4/29/2024,500ML STRAWBERRY,74,59
4/29/2024,5L STRAWBERRY,15,450
4/30/2024,100ML VANILLA,226,13
4/30/2024,250ML VANILLA,122,30
4/30/2024,500ML VANILLA,107,59
4/30/2024,100ML STRAWBERRY,157,13
4/30/2024,250ML STRAWBERRY,105,30
4/30/2024,500ML STRAWBERRY,81,59
4/30/2024,5L STRAWBERRY,15,450
5/1/2024,100ML VANILLA,148,13
5/1/2024,250ML VANILLA,117,30
5/1/2024,500ML VANILLA,71,59
5/1/2024,100ML STRAWBERRY,127,13
5/1/2024,150ML STRAWBERRY,95,20.7
5/1/2024,500ML STRAWBERRY,68,59
5/1/2024,5L STRAWBERRY,9,450
5/2/2024,100ML VANILLA,125,13
5/2/2024,250ML VANILLA,116,30
5/2/2024,500ML VANILLA,69,59
5/2/2024,100ML STRAWBERRY,135,13
5/2/2024,250ML STRAWBERRY,77,30
5/2/2024,500ML STRAWBERRY,54,59
5/2/2024,5L STRAWBERRY,11,450
5/3/2024,100ML VANILLA,150,13
5/3/2024,250ML VANILLA,97,30
5/3/2024,500ML VANILLA,72,59
5/3/2024,100ML STRAWBERRY,126,13
5/3/2024,250ML STRAWBERRY,80,30
5/3/2024,500ML STRAWBERRY,71,59
5/3/2024,5L STRAWBERRY,10,450
5/4/2024,100ML VANILLA,132,13
5/4/2024,250ML VANILLA,102,30
5/4/2024,500ML VANILLA,68,59
5/4/2024,100ML STRAWBERRY,110,13
5/4/2024,250ML STRAWBERRY,78,30
5/4/2024,500ML STRAWBERRY,67,59
5/4/2024,5L STRAWBERRY,9,450
5/5/2024,100ML VANILLA,135,13
5/5/2024,250ML VANILLA,120,30
5/5/2024,500ML VANILLA,74,59
5/5/2024,100ML STRAWBERRY,134,13
5/5/2024,150ML STRAWBERRY,78,20.7
5/5/2024,500ML STRAWBERRY,61,59
5/5/2024,5L STRAWBERRY,11,450
5/6/2024,100ML VANILLA,226,13
5/6/2024,250ML VANILLA,139,30
5/6/2024,500ML VANILLA,111,59
5/6/2024,100ML STRAWBERRY,155,13
5/6/2024,150ML STRAWBERRY,115,20.7
5/6/2024,500ML STRAWBERRY,76,59
5/6/2024,5L STRAWBERRY,13,450
5/7/2024,100ML VANILLA,199,13
5/7/2024,250ML VANILLA,162,30
5/7/2024,500ML VANILLA,112,59
5/7/2024,100ML STRAWBERRY,183,13
5/7/2024,250ML STRAWBERRY,116,30
5/7/2024,500ML STRAWBERRY,79,59
5/7/2024,5L STRAWBERRY,13,450
5/8/2024,100ML VANILLA,138,13
5/8/2024,250ML VANILLA,105,30
5/8/2024,500ML VANILLA,82,59
5/8/2024,100ML STRAWBERRY,127,13
5/8/2024,250ML STRAWBERRY,79,30
5/8/2024,500ML STRAWBERRY,71,59
5/8/2024,5L STRAWBERRY,10,450
5/9/2024,100ML VANILLA,132,13
5/9/2024,250ML VANILLA,104,30
5/9/2024,500ML VANILLA,65,59
5/9/2024,100ML STRAWBERRY,108,13
5/9/2024,250ML STRAWBERRY,90,30
5/9/2024,500ML STRAWBERRY,56,59
5/9/2024,5L STRAWBERRY,11,450
5/10/2024,100ML VANILLA,155,13
5/10/2024,250ML VANILLA,104,30
5/10/2024,500ML VANILLA,73,59
5/10/2024,100ML STRAWBERRY,114,13
5/10/2024,250ML STRAWBERRY,81,30
5/10/2024,500ML STRAWBERRY,66,59
5/10/2024,5L STRAWBERRY,9,450
5/11/2024,100ML VANILLA,132,13
5/11/2024,250ML VANILLA,118,30
5/11/2024,500ML VANILLA,65,59
5/11/2024,100ML STRAWBERRY,113,13
5/11/2024,250ML STRAWBERRY,95,30
5/11/2024,500ML STRAWBERRY,59,59
5/11/2024,5L STRAWBERRY,11,450
5/12/2024,100ML VANILLA,150,13
5/12/2024,250ML VANILLA,107,30
5/12/2024,500ML VANILLA,82,59
5/12/2024,100ML STRAWBERRY,127,13
5/12/2024,250ML STRAWBERRY,76,30
5/12/2024,500ML STRAWBERRY,56,59
5/12/2024,5L STRAWBERRY,9,450
5/13/2024,100ML VANILLA,213,13
5/13/2024,250ML VANILLA,148,30
5/13/2024,500ML VANILLA,99,59
5/13/2024,100ML STRAWBERRY,182,13
5/13/2024,250ML STRAWBERRY,115,30
5/13/2024,500ML STRAWBERRY,72,59
5/13/2024,5L STRAWBERRY,14,450
5/14/2024,100ML VANILLA,218,13
5/14/2024,150ML VANILLA,135,20.7
5/14/2024,500ML VANILLA,87,59
5/14/2024,100ML STRAWBERRY,190,13
5/14/2024,150ML STRAWBERRY,130,20.7
5/14/2024,500ML STRAWBERRY,74,59
5/14/2024,5L STRAWBERRY,12,450
5/15/2024,250ML VANILLA,118,30
5/15/2024,500ML VANILLA,68,59
5/15/2024,100ML STRAWBERRY,133,13
5/15/2024,250ML STRAWBERRY,86,30
5/16/2024,100ML VANILLA,161,13
5/16/2024,250ML VANILLA,91,30
5/16/2024,500ML VANILLA,69,59
5/16/2024,100ML STRAWBERRY,134,13
5/16/2024,250ML STRAWBERRY,95,30
5/16/2024,500ML STRAWBERRY,66,59
5/17/2024,100ML VANILLA,136,13
5/17/2024,250ML VANILLA,105,30
5/17/2024,500ML VANILLA,81,59
5/17/2024,100ML STRAWBERRY,106,13
5/17/2024,250ML STRAWBERRY,82,30
5/17/2024,150ML STRAWBERRY,82,20.7
5/17/2024,500ML STRAWBERRY,71,59
5/17/2024,5L STRAWBERRY,10,450
5/18/2024,100ML VANILLA,172,13
5/18/2024,250ML VANILLA,118,30
5/18/2024,500ML VANILLA,84,59
5/18/2024,100ML STRAWBERRY,141,13
5/18/2024,150ML STRAWBERRY,78,20.7
5/18/2024,500ML STRAWBERRY,67,59
5/18/2024,5L STRAWBERRY,10,450
5/19/2024,100ML VANILLA,146,13
5/19/2024,250ML VANILLA,99,30
5/19/2024,500ML VANILLA,62,59
5/19/2024,100ML STRAWBERRY,126,13
5/19/2024,150ML STRAWBERRY,94,20.7
5/19/2024,500ML STRAWBERRY,58,59
5/19/2024,5L STRAWBERRY,11,450
5/20/2024,100ML VANILLA,189,13
5/20/2024,250ML VANILLA,153,30
