REORDER (auto-fill),ITEM NO.,DATE OF LAST RESTOCKING,ITEM NAME,STOCK LOCATION,DESCRIPTION,COST PER ITEM(EX-FACTORY),STOCK QUANTITY,PACKING(AS PER PLAN),Total stocks, TOTAL VALUE ,REORDER LEVEL,dispatch
OK,100V,4/2/2026,100ML VANILLA,COLD ROOM,YOGHURT,$13.00 ,9360,,2360,"$30,680.00 ",720,
OK,100SB,4/2/2026,100ML STRAWBERRY,COLD ROOM,YOGHURT,$13.00 ,1320,,320,"$4,160.00 ",360,
OK,150V,4/2/2026,150ML VANILLA,COLD ROOM,YOGHURT,$20.70 ,2160,,1160,"$24,012.00 ",900,
OK,150SB,4/2/2026,150ML STRAWBERRY,COLD ROOM,YOGHURT,$20.70 ,720,,220,"$4,554.00 ",360,
RESTOCK,250V,4/2/2026,250ML VANILLA,COLD ROOM,YOGHURT,$30.00 ,540,,450,"$13,500.00 ",960,
RESTOCK,250SB,4/2/2026,250ML STRAWBERRY,COLD ROOM,YOGHURT,$30.00 ,180,,120,"$3,600.00 ",540,
OK,500V,4/2/2026,500ML VANILLA,COLD ROOM,YOGHURT,$59.00 ,1200,,360,"$21,240.00 ",450,
OK,500SB,4/2/2026,500ML STRAWBERRY,COLD ROOM,YOGHURT,$59.00 ,240,,120,"$7,080.00 ",210,
OK,,,5L VANILLA,COLD ROOM,YOGHURT,$130.00 ,0,,0, $-   ,,
OK,,,5L STRAWBERRY,COLD ROOM,YOGHURT,$650.00 ,0,,0, $-   ,,
OK,,,,,,,YOGHURT STOCKS VALUE,,,"$108,826.00 ",,
OK,,,,,,,,,,,,
OK,,,,,,,,,,,,
OK,,,,,,,,,,,,
OK,,,,,,,,,,,,
OK,,,,,,,,,,,,
OK,,,,,,,,,,,,
OK,,,,,,,,,,,,
OK,,,,,,,,,,,,
OK,,,,,,,,,,,,
OK,,,,,,,,,,,,
OK,,,,,,,,,,,,
